,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
AC008397.1,0.014,0.986,4.254598320843906,7.5896e-06,1.4432101e-05,0.00039303824,0.5,0.105314285,0.28202438,2.4357898,-8.998898,8.287828,0.05124677,0.14002678,1.0,1.0,0.5175056,1.2505548,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
LAMC3,0.014,0.986,4.254598320843906,6.239974e-06,1.4999398e-05,0.00039303824,0.5,-0.60900515,-0.5386572,2.8305483,-10.11028,9.551175,0.002645859,0.035197515,1.0,1.0,0.023902914,0.2933708,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
CABYR,0.0142,0.9858,4.240210835583004,1.1926992e-05,2.0822628e-05,0.00039303824,0.5,-0.12685063,-0.117946625,2.2971978,-7.320073,8.968271,0.0466622,0.18937112,1.0,1.0,0.4741914,1.6359136,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
FGF19,0.0142,0.9858,4.240210835583004,1.4436287e-06,8.426259e-06,0.00039303824,0.5,-0.62954104,-0.27478695,2.4935772,-11.087863,8.360492,0.0047681583,0.06812287,1.0,1.0,0.043717887,0.5877158,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
AL365226.2,0.0142,0.9858,4.240210835583004,2.76135e-06,1.535139e-05,0.00039303824,0.5,-1.1210327,-0.7727394,2.647475,-11.744756,9.708878,0.011248685,0.14343257,1.0,1.0,0.100643024,1.2799382,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
HIST1H2BF,0.0142,0.9858,4.240210835583004,2.9549936e-05,5.0211383e-05,0.00039303824,0.5,-0.6625192,-0.82766867,2.0565739,-7.9512625,7.614582,0.12061482,0.29702884,1.0,1.0,1.2584875,2.809829,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
SOX15,0.0142,0.9858,4.240210835583004,1.2050266e-05,2.0022833e-05,0.00039303824,0.5,0.13371077,0.27337265,2.2551992,-9.132754,8.492804,0.040047854,0.17149971,1.0,1.0,0.40028092,1.4594405,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
IGKV1D-33,0.0144,0.9856,4.2260217018992,1.8272046e-06,1.12547095e-05,0.00039303824,0.5,-1.1585302,-0.7840433,2.6346674,-10.335553,6.77232,0.002002443,0.029836018,1.0,1.0,0.020028437,0.44954336,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
CDHR4,0.0144,0.9856,4.2260217018992,3.443232e-06,1.4358492e-05,0.00039303824,0.5,-0.7184588,-0.6280613,2.5432186,-12.733138,7.8638296,0.003864988,0.03865559,1.0,1.0,0.03735534,0.29425004,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
SPAG6,0.0144,0.9856,4.2260217018992,6.956122e-06,1.7985147e-05,0.00039303824,0.5,-0.92325586,-0.9505615,1.9438505,-9.647014,5.360244,0.022232087,0.08796402,1.0,1.0,0.219516,0.7313914,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
EDNRB,0.0144,0.9856,4.2260217018992,2.8273666e-05,2.2427525e-05,0.00039303824,0.5,1.265366,1.4110279,2.5659444,-7.0485306,8.908799,0.10456175,0.13906442,1.0,1.0,1.0943434,1.2129459,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
FABP4,0.0144,0.9856,-4.2260217018992,2.4082985e-05,1.5239607e-05,0.00039303824,0.5,0.6398943,0.63713837,3.3917885,-8.241785,10.593094,0.14610521,0.07777184,1.0,1.0,1.6218147,0.6701967,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
CLDN9,0.0144,0.9856,4.2260217018992,4.332364e-06,1.256733e-05,0.00039303824,0.5,0.20792177,0.76415634,2.8442419,-8.913811,8.980905,0.018961117,0.103779115,1.0,1.0,0.1799266,0.874655,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
ABCA3,0.0146,0.9854,4.212025446612462,1.8018958e-05,2.9816336e-05,0.00039303824,0.5,-0.0893464,-0.17253256,2.060904,-7.901595,7.9995737,0.068467446,0.17728062,1.0,1.0,0.6881738,1.6488689,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
FMO3,0.0146,0.9854,4.212025446612462,9.60788e-06,1.6361711e-05,0.00039303824,0.5,0.2921555,0.42856407,2.9464517,-9.230215,8.609143,0.013017633,0.09115666,1.0,1.0,0.12857614,0.77806413,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
IL24,0.0146,0.9854,4.212025446612462,2.2614666e-05,2.1069465e-05,0.00039303824,0.5,1.6278908,1.8407536,3.2673585,-9.592477,9.6944,0.056503505,0.05894949,1.0,1.0,0.6112556,0.52422327,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
MUC3A,0.0146,0.9854,4.212025446612462,4.445962e-06,1.5776524e-05,0.00039303824,0.5,-0.94146526,-0.83444977,2.3630145,-10.001757,7.8789854,0.012120075,0.0937096,1.0,1.0,0.11610824,0.81094825,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
ACY3,0.0148,0.9852,-4.198216819951089,2.2635368e-05,2.2315528e-05,0.00039303824,0.5,-0.02827121,0.017475128,2.6091998,-8.351428,8.156927,0.076691866,0.15073314,1.0,1.0,0.8591386,1.54673,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
UBD,0.0148,0.9852,4.198216819951089,1.4101681e-05,1.32240475e-05,0.00039303824,0.5,1.1363634,1.284833,2.7218947,-9.699621,9.931193,0.06407817,0.08463868,1.0,1.0,0.70990986,0.74737316,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
NMU,0.0148,0.9852,4.198216819951089,1.3855906e-05,2.1744981e-05,0.00039303824,0.5,-0.33196566,-0.3607645,2.7027314,-9.292368,9.408424,0.086237475,0.2665319,1.0,1.0,0.9223788,2.3360295,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
WDR49,0.015,0.985,4.184590783555718,1.1929317e-05,1.8352412e-05,0.00039303824,0.5,0.9275865,1.1415243,2.6449,-11.524448,8.558514,0.037162155,0.100545555,1.0,1.0,0.38656887,0.84532696,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
FFAR2,0.0152,0.9848,-4.171142499277839,3.2697244e-05,6.503862e-06,0.00039303824,0.5,2.5965946,2.484694,2.042206,-4.3364067,10.485539,0.1823403,0.01852092,1.0,1.0,1.9827371,0.16058587,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
TRDV2,0.0172,0.9828,4.045495685607447,5.0239437e-06,2.3169125e-05,0.00039303824,0.5,-1.5332499,-1.6234322,2.8264253,-9.971334,8.217297,0.0142614795,0.17035092,1.0,1.0,0.13781224,1.6954371,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
ADH1C,0.0172,0.9828,4.045495685607447,8.28479e-06,1.866825e-05,0.00039303824,0.5,-0.74494576,-0.7595873,2.8047993,-9.384402,8.591981,0.031432293,0.17149042,1.0,1.0,0.28791496,1.4494176,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
CAPSL,0.0174,0.9826,4.033731348978667,6.742849e-06,2.222303e-05,0.00039303824,0.5,-0.55973953,-0.47848606,2.8932037,-11.585526,8.409982,0.01608014,0.09276192,1.0,1.0,0.15847678,0.74416,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
RIIAD1,0.0206,0.9794,3.861648588246239,6.9801977e-06,2.2274171e-05,0.00039303824,0.5,-0.47643623,-0.37236118,3.0186055,-11.2200985,8.496802,0.01852483,0.088265605,1.0,1.0,0.18435682,0.706008,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
L1CAM,0.0206,0.9794,3.861648588246239,1.1641877e-05,4.4271037e-05,0.00039303824,0.5,-1.3531048,-1.5351405,2.524076,-9.330529,8.281263,0.027121743,0.16685137,1.0,1.0,0.27038708,1.5579122,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
TRBV11-1,0.0208,0.9792,3.8517824544940926,6.712524e-06,2.3569437e-05,0.00039303824,0.5,-0.87237275,-0.90695333,2.467724,-8.964961,7.917162,0.014362679,0.29021496,1.0,1.0,0.14526714,2.6636314,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
CHGB,0.0208,0.9792,3.8517824544940926,2.0626081e-05,2.6816828e-05,0.00039303824,0.5,0.44615453,0.4328947,2.5943868,-9.665886,9.330768,0.025815716,0.1601498,1.0,1.0,0.2605888,1.4182354,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
PGA3,0.021,0.979,-3.842008738831229,2.6712749e-05,1.8099884e-06,0.00039303824,0.5,3.0056872,2.9014988,2.4445148,-6.7365465,12.133231,0.10909208,0.0056183967,1.0,1.0,1.2419986,0.047833696,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
