names,scores,logfoldchanges,pvals,pvals_adj,tested_group
H2AFX,-4.364923,-0.6092123,1.2716761232475567e-05,7.880824555868315e-05,Fibroblasts
TYMS,-5.9960675,-2.0009654,2.02152829870632e-09,1.9549827105042707e-08,Fibroblasts
FEN1,-6.5529375,-2.0630503,5.6416044110685757e-11,6.208302729210006e-10,Fibroblasts
RFC4,-7.9791923,-2.1053076,1.4729377188685865e-15,2.2141231233666353e-14,Fibroblasts
UBE2T,-12.620313,-3.1443188,1.6317297540025474e-36,5.790199456210929e-35,Fibroblasts
CDC25A,-0.9935124,-1.2532588,0.3204603057557316,0.5249296357657677,T cells
POLQ,-1.2334777,-0.68261355,0.21739758909927775,0.3707985674948168,T cells
FANCB,-2.007063,-0.3885583,0.044742963794417896,0.08448782394868168,T cells
NEIL3,-2.039691,-1.4483612,0.041381107575798035,0.07840905625676566,T cells
EME1,-2.1233366,-2.2495182,0.033725652264817226,0.06453843927669864,T cells
BLM,-2.2224185,0.21858937,0.02625502554843285,0.05086008344934985,T cells
BRIP1,-2.2408595,-0.87328553,0.025035184321201935,0.048583820104704016,T cells
FANCD2,-2.9410105,-0.5647254,0.0032714359164771074,0.00684068907813462,T cells
RAD54B,-3.0331075,-2.1725767,0.002420493653804129,0.005108268568059234,T cells
RAD54L,-3.4314373,-1.9490618,0.0006003921827475297,0.0013225766989784034,T cells
CDC25C,-3.44516,-2.6541092,0.0005707217525039544,0.0012586936722297744,T cells
EXO1,-3.5558813,-2.559558,0.000376714089862417,0.0008402790127568641,T cells
RAD51,-3.8393283,-1.237048,0.00012337133017889578,0.0002836369944823037,T cells
XRCC2,-4.1467986,-1.9325157,3.3715634232697094e-05,8.004576821887721e-05,T cells
FANCA,-4.6946,0.25597984,2.671290533059167e-06,6.712634056141653e-06,T cells
POLE2,-4.732675,-1.6552314,2.2157987319495923e-06,5.587979051709028e-06,T cells
TTK,-6.32815,-2.5778332,2.4811833250360023e-10,7.283546621031297e-10,T cells
BRCA1,-6.388215,-1.0018512,1.6783336238603808e-10,4.957123023521557e-10,T cells
CHEK1,-6.655789,-0.9142264,2.817846647383761e-11,8.550301441623793e-11,T cells
FANCI,-7.3342943,-1.4315039,2.2289253218544267e-13,7.2317313574292e-13,T cells
RRM2,-7.9868326,-1.3407102,1.3844971515794944e-15,4.7548962530926305e-15,T cells
H2AFX,-9.090129,0.013653977,9.89216833868908e-20,3.739936731135588e-19,T cells
TYMS,-11.375666,-0.9822578,5.527961034945645e-30,2.592871482107207e-29,T cells
FEN1,-12.664523,-1.1752734,9.298409148769136e-37,4.897640330743688e-36,T cells
RFC4,-16.787615,-1.436711,3.0069247805804747e-63,2.2921189472537157e-62,T cells
UBE2T,-25.422419,-2.2866027,1.4253910997092588e-142,2.4130982456610615e-141,T cells
CDC25A,-0.5862492,-22.371674,0.5577080630840439,0.9871827011369019,Endothelial cell
POLQ,-0.8257031,-23.081692,0.40897253375174236,0.7866306532674359,Endothelial cell
EME1,-1.0815889,-3.1684053,0.2794352508104718,0.5806340914239783,Endothelial cell
NEIL3,-1.2065128,-5.933707,0.22761983972484057,0.48879804141044814,Endothelial cell
BRIP1,-1.3209058,-3.256646,0.1865327775813208,0.4137519195347554,Endothelial cell
FANCB,-1.3211688,-2.4563327,0.18644508966943563,0.41370409500325794,Endothelial cell
RAD54B,-1.4785728,-3.178061,0.13925450091150046,0.32205908539862876,Endothelial cell
EXO1,-1.7789272,-4.927795,0.07525169915855892,0.18730216913065373,Endothelial cell
CDC25C,-1.7912662,-4.001281,0.07325059259643898,0.18297692220217587,Endothelial cell
RAD54L,-1.9005746,-6.824234,0.05735775853560625,0.14758016803438162,Endothelial cell
FANCD2,-1.9737482,-3.7182815,0.048410381958557916,0.1268113388365712,Endothelial cell
XRCC2,-2.1955593,-3.8823392,0.02812349959778713,0.07771210284957367,Endothelial cell
BLM,-2.22044,-3.4111702,0.02638891365669916,0.0734191124121993,Endothelial cell
POLE2,-2.299931,-1.9694663,0.02145212634417548,0.06081026077661419,Endothelial cell
RAD51,-2.4929988,-5.093564,0.012666929565037675,0.037610215297008025,Endothelial cell
BRCA1,-3.3253698,-1.6995981,0.0008830129127898926,0.0032040144869395566,Endothelial cell
TTK,-3.417337,-5.564091,0.0006323696647131678,0.002348637820171717,Endothelial cell
FANCA,-3.8928478,-1.9127625,9.907436743870749e-05,0.00040962251770576075,Endothelial cell
FANCI,-4.089811,-2.8590267,4.3172482656388895e-05,0.00018693419517609743,Endothelial cell
CHEK1,-4.2468534,-3.8306751,2.1679362306599642e-05,9.744685235479947e-05,Endothelial cell
RRM2,-5.211507,-4.2566657,1.8731274971512207e-07,1.0411243683598534e-06,Endothelial cell
H2AFX,-5.9458404,-1.0591125,2.7504212064382367e-09,1.7932650765240968e-08,Endothelial cell
TYMS,-7.5714397,-3.656505,3.691098241014273e-14,3.429753264526788e-13,Endothelial cell
FEN1,-7.6520157,-3.098319,1.9785290128132332e-14,1.873201438895823e-13,Endothelial cell
RFC4,-9.184662,-2.7469864,4.1282124346779065e-20,5.267327904337331e-19,Endothelial cell
UBE2T,-13.429598,-3.5645356,4.0560775123983886e-41,1.1011517420105167e-39,Endothelial cell
CDC25A,-0.69625443,-2.81448,0.48626951567266796,0.8056106901442708,B cells
POLQ,-1.0869051,-4.1866827,0.2770787193333145,0.49987308108387324,B cells
EME1,-1.537666,-3.233998,0.12413029939048818,0.24351628383822657,B cells
BRIP1,-1.6654366,-2.1252398,0.09582566713811488,0.19181307254358557,B cells
NEIL3,-1.6751198,-3.7605305,0.09391074746975339,0.18829781747072016,B cells
FANCD2,-1.6871382,-0.14697064,0.09157678317916781,0.1839454141002129,B cells
FANCB,-1.7364681,-2.1651244,0.08248110026024338,0.16677554129253985,B cells
RAD54B,-2.1002994,-3.2053883,0.03570251710534509,0.07598081015628455,B cells
BLM,-2.2849357,-0.9541705,0.022316595896481137,0.048703133688659514,B cells
CDC25C,-2.4382875,-4.466839,0.014757027770715966,0.032893471832777015,B cells
EXO1,-2.5967045,-3.8173335,0.00941228498694024,0.021464124846748752,B cells
RAD54L,-2.6361632,-4.3524346,0.008384940161792469,0.019251870457068443,B cells
XRCC2,-2.9990325,-3.8791952,0.002708383465694372,0.006560740123897149,B cells
RAD51,-3.0882418,-3.1736944,0.0020134461625727963,0.004950243576786996,B cells
POLE2,-3.4140408,-2.9801922,0.000640069625259501,0.0016486841410576515,B cells
FANCA,-3.955352,-0.56917185,7.64219898702871e-05,0.00021157595500026776,B cells
