,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
XRCC2,0.5979567307692307,0.4020432692307693,0.3969586688810378,4.668541e-06,2.34298e-06,3.0031646e-09,0.25,0.71398216,0.6818104,1.755614,-6.305811,7.347065,0.04175646551724146,0.0017231476163124641,0.036503232758620704,0.0017231476163124641,0.05534388995101548,0.013622248039743705,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
EME1,0.5967548076923077,0.4032451923076923,0.3919615190319845,2.5358213e-06,1.2690654e-06,3.0031646e-09,0.25,0.7104239,0.63661003,1.6028867,-4.930153,6.27291,0.019531249999999955,0.0005743825387708214,0.01831896551724134,0.0005743825387708214,0.026556511718484114,0.0035764790708021255,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
H2AFX,0.5839342948717948,0.4160657051282052,0.33894526799902946,5.223831e-05,5.847481e-05,3.0031646e-09,0.25,-0.43745896,-0.48446465,1.1343353,-4.5097437,4.1553926,0.23908943965517535,0.07581849511774817,0.15086206896551968,0.07237219988512325,0.3419836328563242,0.49578393160847817,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
BRCA1,0.5745192307692307,0.4254807692307693,0.3003138132607144,1.1358805e-05,5.788436e-06,3.0031646e-09,0.25,0.53501755,0.55858994,1.6516796,-5.8262596,6.982317,0.09226831896551792,0.0068925904652498565,0.0666756465517248,0.006318207926479035,0.11451302353592634,0.04719186117821531,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
RAD51,0.5480769230769231,0.45192307692307687,0.19290366224244648,9.7632355e-06,6.805154e-06,3.0031646e-09,0.25,0.36629808,0.40918636,1.4394476,-5.798644,5.221236,0.05522629310344855,0.0017231476163124641,0.04135237068965529,0.0017231476163124641,0.09942952432403473,0.014649738830213546,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
RFC4,0.5284455128205128,0.4715544871794872,0.11390504317400763,6.3570216e-05,5.7800513e-05,3.0031646e-09,0.25,0.2712315,0.35612106,1.3717264,-4.779154,4.4778843,0.27922952586207117,0.019529006318207927,0.17093211206896838,0.019529006318207927,0.4311317437416015,0.1317802364603284,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
POLQ,0.5124198717948718,0.4875801282051282,0.04968970759711244,4.090746e-06,2.5786405e-06,3.0031646e-09,0.25,0.31831327,0.31495667,2.0854144,-7.2042847,7.403021,0.015490301724137909,0.0,0.013469827586206877,0.0,0.020717238520384828,0.0,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
TYMS,0.5104166666666666,0.48958333333333337,0.04167269556687281,5.3865315e-05,3.5158395e-05,3.0031646e-09,0.25,0.28722864,0.2984934,1.6474891,-6.5864687,5.6020174,0.2669719827586219,0.004595060310166571,0.1330818965517262,0.0034462952326249283,0.41144852280305266,0.024944634241297302,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
FANCI,0.4933894230769231,0.5066105769230769,-0.026443848020488603,1.3579584e-05,8.6527825e-06,3.0031646e-09,0.25,0.28609714,0.23187256,1.4074907,-4.5226192,6.2699223,0.10344827586206977,0.00861573808156232,0.07354525862069046,0.00861573808156232,0.16771352709045223,0.047603508735568775,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
FANCD2,0.4909855769230769,0.5090144230769231,-0.03606159907066342,4.820606e-06,3.2969883e-06,3.0031646e-09,0.25,0.31148854,0.2143383,1.6248858,-5.9839516,6.573015,0.03838900862068971,0.0022975301550832855,0.033539870689655124,0.0022975301550832855,0.055742164925466214,0.013340785417443516,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
