,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
SDS,0.4608,0.5392,-0.1571224470610212,3.0608542e-05,0.00014945741,1.271431e-07,0.5,0.0059682336,0.2556572,2.8782551,-8.878243,10.876086,0.19015989,0.42638248,1.0,1.0,1.9022967,4.535202,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MMP7,0.4606,0.5394,-0.1579274201473505,8.2276296e-05,0.00034711437,1.271431e-07,0.5,-0.58639914,-0.29710865,2.2135425,-7.722523,9.222211,0.34853923,0.8164754,1.0,1.0,3.5812414,7.2302895,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
PON2,0.4606,0.5394,-0.1579274201473505,0.00042623645,0.0004017214,1.271431e-07,0.5,0.567837,0.3719983,1.6724515,-3.9492989,9.529677,0.9192173,1.1367079,1.0,1.0,9.349333,10.326668,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MOXD1,0.4606,0.5394,-0.1579274201473505,1.0853321e-05,2.6287225e-05,1.271431e-07,0.5,0.23164122,0.17605495,2.6537838,-8.240041,7.9656706,0.08830038,0.187768,1.0,1.0,0.8674336,1.7476457,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGKV1D-27,0.4606,0.5394,-0.1579274201473505,1.5912985e-05,0.00011092185,1.271431e-07,0.5,-0.35901722,0.12717247,5.0628467,-15.20823,16.145195,0.043631792,0.25153178,1.0,1.0,0.39740995,2.7576208,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
HLA-DQB1,0.4604,0.5396000000000001,-0.15873244429787647,0.0014829198,0.0017602545,1.271431e-07,0.5,0.34447965,0.26649904,2.2019265,-6.4106617,7.121475,2.7202814,2.791767,1.0,1.0,27.733397,28.609158,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
HCAR2,0.4604,0.5396000000000001,-0.15873244429787647,2.4796935e-05,6.156463e-05,1.271431e-07,0.5,0.2802207,-0.09060812,3.8306324,-10.966581,12.852626,0.108293645,0.29217353,1.0,1.0,1.0485712,2.9213617,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TINAGL1,0.4602,0.5398000000000001,-0.15953751977833608,3.928489e-05,7.095283e-05,1.271431e-07,0.5,0.48659068,0.23412085,2.901634,-9.580742,11.597233,0.09403911,0.3796008,1.0,1.0,0.9239252,3.221004,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
NCF1,0.4614,0.5386,-0.15470783153133105,0.000586556,0.0005430192,1.271431e-07,0.5,0.51035315,0.35719156,1.3700813,-3.1226616,5.233074,1.8773705,1.6905059,1.0,1.0,19.25655,17.460278,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
UBE2S,0.4694,0.5306,-0.12255315582951298,0.0008513584,0.0007353539,1.271431e-07,0.5,0.6200116,0.39864397,1.7365612,-3.5828772,9.864379,2.018279,1.5757728,1.0,1.0,20.883272,15.173258,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MUC5AC,0.4632,0.5367999999999999,-0.1474666564386523,2.871238e-06,1.4553809e-05,1.271431e-07,0.5,0.49776134,0.4681177,4.325285,-15.452019,16.813732,0.043757573,0.08745294,1.0,1.0,0.46575958,0.7705772,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IL1A,0.4696,0.5304,-0.12175016791674254,4.609933e-05,9.458141e-05,1.271431e-07,0.5,0.21092068,0.3769803,2.254166,-6.71566,11.443292,0.15063742,0.3469259,1.0,1.0,1.4617751,3.5408585,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
RASSF6,0.4784,0.5216000000000001,-0.0864538062447906,1.3713615e-05,4.6453955e-05,1.271431e-07,0.5,-0.33553094,-0.3281393,2.842018,-8.920483,7.6063232,0.13612229,0.40940797,1.0,1.0,1.3859656,3.8726923,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
