,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
RNF223,0.6176,0.38239999999999996,0.4793738075744029,1.5465224e-06,9.866124e-06,1.0703166e-07,0.5,-1.4706368,-1.5322189,3.1334336,-11.235555,10.373319,0.022488136,0.12353578,1.0,1.0,0.15303026,1.0620552,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGHV3-22,0.6158,0.3842,0.47175897536687234,1.0255078e-05,2.5697833e-05,1.0703166e-07,0.5,1.5969827,1.8940535,4.035278,-11.996324,15.147921,0.0360663,0.045322593,1.0,1.0,0.28948608,0.63717157,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
COL12A1,0.6156,0.38439999999999996,0.47091371509833346,7.303951e-05,8.753215e-05,1.0703166e-07,0.5,1.2078012,1.2668777,2.639564,-7.8751507,12.136923,0.37621835,0.21044959,1.0,1.0,2.842615,1.8930525,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
LRRC15,0.6154,0.38460000000000005,0.4700686199818159,1.4721846e-05,1.9235953e-05,1.0703166e-07,0.5,1.4078226,1.2881026,2.8637376,-8.549451,14.533719,0.09169406,0.07849926,1.0,1.0,0.6918914,0.7222043,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
SERPINE2,0.6152,0.38480000000000003,0.4692236896672334,0.00021279485,0.00015970616,1.0703166e-07,0.5,1.1615733,1.0502834,2.243523,-5.532192,11.550628,0.7959969,0.5747561,1.0,1.0,6.122041,5.1433563,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
LAMA3,0.615,0.385,0.4683789238048705,4.831221e-05,3.752222e-05,1.0703166e-07,0.5,1.2377963,1.1857657,2.6242275,-8.733604,14.268856,0.24973094,0.22054186,1.0,1.0,1.8331264,1.9260288,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IFNG,0.6146,0.38539999999999996,0.4666898840397959,0.00025102732,0.0016532114,1.0703166e-07,0.5,-1.4171629,-1.657321,3.9504433,-13.03406,13.714362,0.2064081,0.85178906,1.0,1.0,1.5053104,8.3501835,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
NTM,0.6146,0.38539999999999996,0.4666898840397959,4.7305384e-05,5.994075e-05,1.0703166e-07,0.5,1.595726,1.5070205,3.3671312,-9.366077,16.212952,0.18031894,0.13273758,1.0,1.0,1.291759,1.2448105,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TRBV24-1,0.6144,0.38560000000000005,0.46584560943950365,4.6993264e-05,0.00022404997,1.0703166e-07,0.5,-1.1929443,-1.5658064,3.0380638,-9.219978,12.357138,0.07619067,0.6123717,1.0,1.0,0.5582423,5.7789464,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
CENPA,0.6142,0.38580000000000003,0.46500149789626916,6.078369e-06,2.978484e-05,1.0703166e-07,0.5,-1.4735465,-1.3436542,3.4788358,-12.339395,12.523037,0.042811263,0.11738103,1.0,1.0,0.32502684,1.0575819,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
