,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
ADAMTS5,0.0016,0.9984,6.436144128404985,2.0376503e-06,7.456143e-06,0.00034839698,0.5,-0.7403484,-0.5953617,2.4568365,-9.074265,6.884795,0.0033067153,0.030617887,1.0,1.0,0.03791734,0.26139453,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
AC113346.1,0.0018,0.9982,6.318161446611298,1.2000767e-06,4.5322217e-06,0.00034839698,0.5,-0.34241128,0.12145424,2.4214447,-8.776048,6.0844116,5.7211146e-05,0.0161248,1.0,1.0,0.0006039617,0.14156969,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CLEC4G,0.0018,0.9982,6.318161446611298,2.4246276e-05,7.400624e-06,0.00034839698,0.5,3.00901,3.4138956,2.7942433,-7.2495193,8.75878,0.46304333,0.07811868,1.0,1.0,5.373824,0.7981933,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
SERPINB7,0.0018,0.9982,6.318161446611298,9.351665e-07,1.4818354e-06,0.00034839698,0.5,0.65825295,0.76608944,1.6012812,-8.658315,6.3525534,0.00035448643,0.006231962,1.0,1.0,0.003786386,0.056599036,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
GPR50,0.0012,0.9988,6.724224678325067,1.959028e-06,1.2257166e-06,0.00034839698,0.5,1.1092181,0.61263275,2.0513048,-10.211772,6.223405,0.0014268514,0.011314592,1.0,1.0,0.0151096005,0.098692,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
AL121956.6,0.0012,0.9988,6.724224678325067,2.788421e-06,1.4181126e-06,0.00034839698,0.5,1.48878,1.3761711,1.8872725,-8.563127,5.8109283,0.02175539,0.008471064,1.0,1.0,0.2570672,0.06516918,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
ORM2,0.001,0.999,6.906744788708564,4.7674425e-06,7.039726e-06,0.00034839698,0.5,0.7299035,1.0679216,2.5821679,-8.136506,7.454796,0.010742741,0.06252531,1.0,1.0,0.11042643,0.5527712,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CLDN14,0.001,0.999,6.906744788708564,1.8967688e-06,3.5156702e-06,0.00034839698,0.5,-0.23122206,-0.1523447,2.1747966,-7.9295588,6.097846,0.00024672848,0.017811304,1.0,1.0,0.002573045,0.16255932,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
PLA2G2A,0.0006,0.9994,7.417964066154319,1.056023e-06,1.0613521e-06,0.00034839698,0.5,0.8452749,0.88178253,1.562874,-8.426327,5.208235,0.00012558616,0.009166846,1.0,1.0,0.0013239405,0.078700975,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
UPK1B,0.0006,0.9994,7.417964066154319,3.5949618e-06,1.4954338e-06,0.00034839698,0.5,1.3780614,0.8939686,2.3061051,-9.139314,7.160166,0.003437069,0.01636778,1.0,1.0,0.036856234,0.14632675,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
LINC01405,0.0006,0.9994,7.417964066154319,6.305649e-08,3.0397027e-07,0.00034839698,0.5,0.047130547,0.03170395,0.6416239,-9.472398,2.4477367,1.5316331e-05,0.0026547727,1.0,1.0,0.00015419086,0.02492673,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
LINC02158,0.0006,0.9994,7.417964066154319,7.442241e-06,5.181374e-06,0.00034839698,0.5,1.4237475,1.6070452,1.9040681,-6.912015,6.8566284,0.02727493,0.02880542,1.0,1.0,0.3164364,0.29746607,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
LINC02474,0.0006,0.9994,7.417964066154319,9.213332e-06,7.9258125e-06,0.00034839698,0.5,0.9893503,1.1512604,2.8596249,-8.670281,7.7098875,0.0018058668,0.029541772,1.0,1.0,0.017424924,0.2584948,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
LINC01614,0.0006,0.9994,7.417964066154319,2.28264e-07,1.8798589e-06,0.00034839698,0.5,-0.6186233,-0.10726929,1.6324822,-9.420799,4.708214,5.9129135e-05,0.017422324,1.0,1.0,0.000607268,0.15541784,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
HEXD-IT1,0.0006,0.9994,7.417964066154319,4.6922573e-06,6.3776865e-06,0.00034839698,0.5,-0.09485908,-0.059758186,2.0582998,-7.1314487,7.207513,0.015590803,0.05006266,1.0,1.0,0.18758696,0.4972464,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
LINC02832,0.0006,0.9994,7.417964066154319,1.0086331e-06,1.7173606e-06,0.00034839698,0.5,0.4228126,0.52774525,1.8640615,-8.428728,4.8542175,0.00012541297,0.012336377,1.0,1.0,0.0012184179,0.09441168,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
KLK12,0.0008,0.9992,7.130086020211708,3.3737522e-06,3.729964e-06,0.00034839698,0.5,0.90151477,1.1637783,2.1539385,-9.424009,6.2074423,0.014744155,0.056038473,1.0,1.0,0.16408622,0.47445092,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CDSN,0.0008,0.9992,7.130086020211708,4.1775597e-06,2.4121518e-06,0.00034839698,0.5,1.7706167,2.0237198,2.231587,-9.169969,7.1639585,0.0066091693,0.015918357,1.0,1.0,0.07331868,0.13719591,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
SLC26A4,0.0008,0.9992,7.130086020211708,2.3718494e-06,1.222111e-06,0.00034839698,0.5,1.3502023,1.4288082,1.4573127,-8.568731,6.031598,0.025608819,0.012404839,1.0,1.0,0.28894672,0.1147813,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
ACTA1,0.0008,0.9992,7.130086020211708,8.57795e-06,4.431679e-06,0.00034839698,0.5,2.1601632,2.5147057,2.2593775,-7.842615,7.333743,0.06599582,0.03460827,1.0,1.0,0.76835805,0.29905787,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
PPP1R17,0.0008,0.9992,7.130086020211708,3.7391078e-06,2.6124242e-06,0.00034839698,0.5,1.0319744,1.1374531,2.2359614,-7.802122,7.3940153,0.0035600835,0.014212787,1.0,1.0,0.037069988,0.14812174,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
AL355916.1,0.0,1.0,-0.0,8.317681e-06,6.687921e-06,0.00034839698,0.5,0.34157488,0.30566168,1.7560511,-5.1051645,6.3185005,0.02186486,0.0566281,1.0,1.0,0.24608345,0.51846254,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
HIST1H3J,0.0008,0.9992,7.130086020211708,1.6074246e-05,1.5454989e-05,0.00034839698,0.5,0.4379459,0.33477783,1.8848392,-5.664362,7.081111,0.04191682,0.08003091,1.0,1.0,0.47995147,0.75827813,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
EPYC,0.0008,0.9992,7.130086020211708,2.861334e-06,1.4229648e-06,0.00034839698,0.5,1.2328478,0.8275118,2.0662081,-9.286006,6.2913685,0.022447323,0.022168601,1.0,1.0,0.26681545,0.20805866,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
IGHV3-52,0.0008,0.9992,7.130086020211708,6.244616e-07,3.3825868e-06,0.00034839698,0.5,-1.1016731,-0.6115713,2.1442657,-10.210492,6.3635235,3.7089096e-05,0.0068611815,1.0,1.0,0.00040234253,0.09639624,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
RAB42,0.0008,0.9992,7.130086020211708,1.3767092e-05,1.6250106e-05,0.00034839698,0.5,0.29723504,0.15679121,2.0379026,-5.4732428,7.000139,0.0703416,0.16903926,1.0,1.0,0.80870485,1.6634014,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
KCNE5,0.0008,0.9992,7.130086020211708,2.038538e-05,5.5902083e-06,0.00034839698,0.5,2.5465136,2.4997883,1.8991532,-4.952571,7.278569,0.13023348,0.044057004,1.0,1.0,1.5266542,0.4565462,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
GFRA3,0.0008,0.9992,7.130086020211708,4.9337455e-06,5.4599996e-06,0.00034839698,0.5,0.74404645,0.94340897,2.278361,-8.246667,7.3776264,0.0043056933,0.04285182,1.0,1.0,0.04717146,0.4013689,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
PCK1,0.0008,0.9992,7.130086020211708,3.97407e-06,4.6778273e-06,0.00034839698,0.5,-0.05767583,0.1879673,2.793188,-8.455184,8.231292,0.001906577,0.04876638,1.0,1.0,0.019957636,0.41171885,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
SLURP2,0.0008,0.9992,7.130086020211708,3.933304e-06,5.562555e-06,0.00034839698,0.5,1.0112195,1.3932419,2.6446557,-9.045542,7.11467,0.0030471156,0.021886602,1.0,1.0,0.031059565,0.18127362,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
IGHV1OR15-3,0.0008,0.9992,7.130086020211708,7.502201e-07,1.716424e-06,0.00034839698,0.5,0.113949195,0.391325,1.7388986,-8.593126,5.100376,0.00057928835,0.010579746,1.0,1.0,0.006670103,0.19069807,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
BPIFB2,0.0008,0.9992,7.130086020211708,2.1864516e-07,8.2124575e-07,0.00034839698,0.5,0.22583072,0.09265518,0.97088253,-12.47658,4.790554,0.00016945876,0.0017162946,1.0,1.0,0.0018361976,0.019830432,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
LINC00545,0.0008,0.9992,7.130086020211708,3.8305728e-07,1.2434905e-06,0.00034839698,0.5,-0.15793177,0.084098816,1.5603436,-8.962731,4.6174564,1.9715244e-05,0.007982513,1.0,1.0,0.00019713701,0.07111501,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CRABP1,0.0008,0.9992,7.130086020211708,2.3205594e-06,5.800591e-06,0.00034839698,0.5,0.039705146,0.3342409,2.3892589,-7.9814653,6.2265015,0.00044614155,0.02889014,1.0,1.0,0.0041481643,0.24275813,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
HIST1H1A,0.0008,0.9992,7.130086020211708,5.7535062e-06,2.116387e-05,0.00034839698,0.5,-1.2241056,-1.4128566,1.934524,-6.0672674,6.328824,0.016388953,0.12093924,1.0,1.0,0.17461479,1.1142797,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
FSTL4,0.001,0.999,6.906744788708564,1.2249595e-05,8.768734e-06,0.00034839698,0.5,0.8760959,0.8137703,1.8370147,-6.095646,7.316251,0.03181806,0.051897466,1.0,1.0,0.3449699,0.4696954,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
DHH,0.0008,0.9992,7.130086020211708,4.1491207e-06,4.298977e-06,0.00034839698,0.5,0.70887893,0.74763775,2.0863857,-7.0040483,6.1198883,0.066267684,0.018539555,1.0,1.0,0.8059328,0.16095622,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
HAMP,0.0018,0.9982,6.318161446611298,1.4657953e-05,1.7971688e-05,0.00034839698,0.5,0.4404603,0.26339817,2.1584034,-7.285162,6.9139204,0.10093084,0.19403143,1.0,1.0,1.1929078,1.9894716,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
RPTN,0.0,1.0,-0.0,2.1374042e-06,1.8123642e-06,0.00034839698,0.5,0.9910076,1.1794701,1.9081243,-7.363455,6.379299,0.0041507925,0.00523419,1.0,1.0,0.046012208,0.053332042,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
ELFN2,0.0,1.0,-0.0,2.9711155e-06,3.445521e-06,0.00034839698,0.5,0.3747196,0.5781441,2.2895396,-6.959687,6.8511343,0.0012575999,0.014236973,1.0,1.0,0.0129817715,0.1271108,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
IGLV2-33,0.0,1.0,-0.0,1.439314e-07,2.637778e-07,0.00034839698,0.5,-0.06828717,0.008249283,0.9570642,-6.922906,4.114443,3.2559787e-05,0.0027143683,1.0,1.0,0.00031324095,0.035232574,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
IGLV2-34,0.0,1.0,-0.0,4.4251374e-07,8.69492e-07,0.00034839698,0.5,0.022503324,0.09810352,1.5183241,-7.7252054,4.1316853,0.0004064617,0.0061564227,1.0,1.0,0.0042514205,0.08681943,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
PKD2L1,0.0,1.0,-0.0,1.0604825e-06,2.9363605e-06,0.00034839698,0.5,-0.65787816,-0.55734825,1.5019729,-6.9075184,3.8111286,0.004115742,0.041544642,1.0,1.0,0.044137105,0.4307648,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
AC010649.1,0.0,1.0,-0.0,1.919001e-07,6.165756e-07,0.00034839698,0.5,-0.16762298,0.0050325394,1.1876645,-8.617156,5.3715763,9.350659e-06,0.0024057252,1.0,1.0,9.1502756e-05,0.020005299,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CYP26A1,0.0,1.0,-0.0,1.0793605e-06,4.237501e-06,0.00034839698,0.5,-1.4192228,-1.3842802,1.9693594,-7.737109,6.2303953,0.00041916326,0.014709784,1.0,1.0,0.0043567787,0.14669482,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
IGLV2-5,0.0,1.0,-0.0,8.116628e-06,2.983468e-06,0.00034839698,0.5,2.1826441,2.466443,2.244419,-7.2089596,7.768196,0.08463569,0.06733838,1.0,1.0,0.9228614,0.79723114,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
